IATA,Nome,País,Grau,DC,BC,EC
TAF,Tafaraoui Airport,Algeria,0,0.0,0.0,3.2879294820093764e-76
TLM,Zenata – Messali El Hadj Airport,Algeria,8,0.0013188262446422684,0.0,8.131917581734788e-05
ORN,Es Senia Airport,Algeria,44,0.0072535443455324766,0.000612172396575292,0.001497975045915031
BFW,Sidi Bel Abbes Airport,Algeria,0,0.0,0.0,3.2879294820093764e-76
MUW,Ghriss Airport,Algeria,3,0.0004945598417408506,0.0,6.548752998044128e-06
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Algeria,11,0.0018133860863831191,0.0001946709308352829,8.428725187556559e-06
BSK,Biskra Airport,Algeria,6,0.0009891196834817012,0.0,5.792916735337199e-05
ELG,El Golea Airport,Algeria,4,0.0006594131223211342,1.6308651005469107e-07,8.591303115804503e-09
GHA,Noumérat - Moufdi Zakaria Airport,Algeria,8,0.0013188262446422684,0.00013623159806568528,8.420172251188487e-06
HME,Oued Irara Airport,Algeria,12,0.0019782393669634025,0.00015302950860131845,3.1356888635390996e-05
INZ,In Salah Airport,Algeria,5,0.0008242664029014178,5.4362170018230355e-08,6.557647114394462e-06
TGR,Touggourt Sidi Madhi Airport,Algeria,2,0.0003297065611605671,0.0,6.548752998044128e-06
LOO,Laghouat Airport,Algeria,0,0.0,0.0,3.2879294820093764e-76
TMX,Timimoun Airport,Algeria,0,0.0,0.0,3.2879294820093764e-76
OGX,Ain el Beida Airport,Algeria,11,0.0018133860863831191,0.00027393097472186277,8.14098117380734e-06
IAM,In Aménas Airport,Algeria,4,0.0006594131223211342,1.3590542504557588e-07,4.156462356034231e-08
COO,Cadjehoun Airport,Benin,37,0.006099571381470491,0.0002930120963982616,0.000903724684111925
OUA,Ouagadougou Airport,Burkina Faso,29,0.004780745136828223,0.00071483535465472,0.0009784365251134777
BOY,Bobo Dioulasso Airport,Burkina Faso,4,0.0006594131223211342,0.0,2.418885467947669e-06
ACC,Kotoka International Airport,Ghana,58,0.009561490273656445,0.001262683713555941,0.001873725656893895
TML,Tamale Airport,Ghana,2,0.0003297065611605671,0.0,1.7746642394555593e-05
NYI,Sunyani Airport,Ghana,2,0.0003297065611605671,0.0,1.9718491549506214e-06
TKD,Takoradi Airport,Ghana,2,0.0003297065611605671,0.0,7.887396619802486e-06
ABJ,Port Bouet Airport,Cote d'Ivoire,41,0.006758984503791626,0.00019040350048885182,0.0013201160748621296
BYK,Bouaké Airport,Cote d'Ivoire,0,0.0,0.0,3.2879294820093764e-76
DJO,Daloa Airport,Cote d'Ivoire,0,0.0,0.0,3.2879294820093764e-76
HGO,Korhogo Airport,Cote d'Ivoire,0,0.0,0.0,3.2879294820093764e-76
MJC,Man Airport,Cote d'Ivoire,0,0.0,0.0,3.2879294820093764e-76
SPY,San Pedro Airport,Cote d'Ivoire,0,0.0,0.0,3.2879294820093764e-76
ASK,Yamoussoukro Airport,Cote d'Ivoire,0,0.0,0.0,3.2879294820093764e-76
ABV,Nnamdi Azikiwe International Airport,Nigeria,46,0.007583250906693043,0.0023297859299287937,0.0016348972893619942
AKR,Akure Airport,Nigeria,0,0.0,0.0,3.2879294820093764e-76
BNI,Benin Airport,Nigeria,4,0.0006594131223211342,0.0,6.542143616660853e-06
CBQ,Margaret Ekpo International Airport,Nigeria,4,0.0006594131223211342,0.0,6.542143616660853e-06
ENU,Akanu Ibiam International Airport,Nigeria,6,0.0009891196834817012,0.0,9.880639160843805e-06
IBA,Ibadan Airport,Nigeria,2,0.0003297065611605671,0.0,1.7205188226331022e-06
ILR,Ilorin International Airport,Nigeria,2,0.0003297065611605671,0.0,1.7205188226331022e-06
JOS,Yakubu Gowon Airport,Nigeria,2,0.0003297065611605671,0.0,4.82162479402775e-06
KAD,Kaduna Airport,Nigeria,2,0.0003297065611605671,0.0,4.82162479402775e-06
KAN,Mallam Aminu International Airport,Nigeria,14,0.0023079459281239697,0.0005352499259994961,4.669680912245163e-05
MIU,Maiduguri International Airport,Nigeria,0,0.0,0.0,3.2879294820093764e-76
MDI,Makurdi Airport,Nigeria,0,0.0,0.0,3.2879294820093764e-76
LOS,Murtala Muhammed International Airport,Nigeria,83,0.013682822288163535,0.003732085286634055,0.0045817233984971045
MXJ,Minna Airport,Nigeria,0,0.0,0.0,3.2879294820093764e-76
PHC,Port Harcourt International Airport,Nigeria,4,0.0006594131223211342,0.0,0.00010467429786657365
SKO,Sadiq Abubakar III International Airport,Nigeria,2,0.0003297065611605671,0.0,1.7205188226331022e-06
YOL,Yola Airport,Nigeria,2,0.0003297065611605671,0.0,1.7205188226331022e-06
ZAR,Zaria Airport,Nigeria,0,0.0,0.0,3.2879294820093764e-76
MFQ,Maradi Airport,Niger,0,0.0,0.0,3.2879294820093764e-76
NIM,Diori Hamani International Airport,Niger,17,0.00280250576986482,0.0010935222310017128,0.0013581315344368223
THZ,Tahoua Airport,Niger,0,0.0,0.0,3.2879294820093764e-76
AJY,Mano Dayak International Airport,Niger,0,0.0,0.0,3.2879294820093764e-76
ZND,Zinder Airport,Niger,0,0.0,0.0,3.2879294820093764e-76
MIR,Monastir Habib Bourguiba International Airport,Tunisia,20,0.003297065611605671,4.3489736014584284e-07,0.0007958615756425369
TUN,Tunis Carthage International Airport,Tunisia,118,0.01945268710847346,0.0019589543871494355,0.0034908476963719307
GAF,Gafsa Ksar International Airport,Tunisia,3,0.0004945598417408506,0.0,3.6737722341339796e-06
GAE,Gabès Matmata International Airport,Tunisia,4,0.0006594131223211342,0.0,3.677638498431743e-06
DJE,Djerba Zarzis International Airport,Tunisia,46,0.007583250906693043,1.6199926665432646e-05,0.001996033097666226
EBM,El Borma Airport,Tunisia,0,0.0,0.0,3.2879294820093764e-76
SFA,Sfax Thyna International Airport,Tunisia,8,0.0013188262446422684,0.0,0.00018112309558067756
TOE,Tozeur Nefta International Airport,Tunisia,6,0.0009891196834817012,8.537578801363078e-05,1.385254523811458e-05
LRL,Niamtougou International Airport,Togo,0,0.0,0.0,3.2879294820093764e-76
LFW,Lomé-Tokoin Airport,Togo,28,0.004615891856247939,0.0012571115911290723,0.00023492989391047617
ANR,Antwerp International Airport (Deurne),Belgium,2,0.0003297065611605671,0.0,3.0358086923631775e-05
BRU,Brussels Airport,Belgium,293,0.04830201121002308,0.0008802730285626996,0.03821276184634722
CRL,Brussels South Charleroi Airport,Belgium,166,0.02736564457632707,0.00034153033313953223,0.0004699950891218167
KJK,Wevelgem Airport,Belgium,0,0.0,0.0,3.2879294820093764e-76
LGG,Liège Airport,Belgium,13,0.0021430926475436863,8.545733126865811e-05,2.7015238129937953e-05
OST,Ostend-Bruges International Airport,Belgium,2,0.0003297065611605671,0.0,1.6784281863280197e-05
OBL,Zoersel (Oostmalle) Airfield,Belgium,0,0.0,0.0,3.2879294820093764e-76
AOC,Altenburg-Nobitz Airport,Germany,0,0.0,0.0,3.2879294820093764e-76
IES,Riesa-Göhlis Airport,Germany,0,0.0,0.0,3.2879294820093764e-76
